id,glo_food_type_id,name ,for_loss,for_maintain,size,cuisine,quantity,calarie,serving,weight,totaldietaryfibre,fat,protein,carbohydrates,carb_type,glycemic_index,carb_perc,fat_perc,protein_perc,cholestrol,sodium,calcium,iron,sugar,vitaminc,insolubledietaryfibre,insolublefibre,solubledietaryfibre,totaldietaryfibrebackup,totalmonounsaturatedfattyacids,totalpolyunsaturatedfattyacids,totalsaturatedfattyacids,totalsaturatedfattyacidsbackup,totaltransfat,high_on_which_macronutrient,raw,dish,m1,m2,m3,m4,m5_loss,m5_gain,m5_stable,summer,winter,autumn,dessert,snaks,nuts,drink,salad,yogurt,solid_meal,fruit,pulses,non_veg_gravy_items,grains_cereals,vegetable,dairy,poultary,seafood,pork,meat,lamb_mutton,beef,other_meat,egg,pulse,cereal_grains,wheat,fruits,vegetables,oils_and_fats,sugars,nut,diabetes,hyper_tension,osteoporosis,lactose_intolerance,gluten_intolerance,anaemia,hypothyroidism,pcod,reciepe,image_name,status_id
43,0,Aloo Pyaz Parantha,0,0,Pieces,Generic,2,293.02,1,120,5.62,14.31,5.1,36.29,0,0,0,0,0,0,602.62,47.64,2.2,0,12.16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,,50.jpg,1
44,0,Aloo Ka Raita,1,0,Katori,Generic,1,102.45,1,150,1.2,4.2,4.05,12.15,0,0,0,0,0,13.2,529.65,170.85,0.6,0,15.21,0,0,0,1.2,0,0,2.1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,,1483703245_44.jpg,1
45,0,Aloo Rice,1,0,Katori,Generic,1,211.46,1,150,3.55,1.24,4.98,45.45,0,0,0,0,0,0,1692.36,52.57,2.41,0.07,15.21,0,0,0,0,0.21,0.05,0.08,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,,52.jpg,1
46,0,Aloo Sabu Dana Vada,0,0,Pieces,Generic,2,124.5,1,60,1.38,5.64,1.98,16.62,0,0,0,0,0,0,363.78,11.4,0.42,0,9.72,0,0,0,1.32,0,0,3.54,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,,54.jpg,1
47,0,Aloo Sandwich,0,0,Piece,Generic,1,128.59,1,60,4.26,2.59,3.79,23.57,0,0,0,0,0,2.8,665.96,35.69,2.16,0,4.77,0,0,0,2.25,0.13,0.33,0.98,0.1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,,55.jpg,1
48,0,Aloo Sarson Ki Sabji,1,0,Katori,Generic,1,75.75,1,150,3.64,2.74,3.09,10.34,0,0,0,0,0,4.56,647.91,93.6,6.57,0,25.62,0,0,0,0,0.01,0.03,1.11,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,,56.jpg,1
49,0,Aloo Shalgam Curry,1,0,Katori,Generic,1,182.52,1,150,3.81,7.67,2.19,26.4,0,0,0,0,0,0,423.83,52.5,1.41,0,57.68,0,0,0,0,0.01,0.02,6.24,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,1483703287_49.jpg,1
50,0,Aloo Shimla Mirch Ki Sabji,1,0,Katori,Generic,1,224.55,1,150,7.05,10.95,4.35,27.75,0,0,0,0,0,0,1219.05,78.15,1.8,0,98.85,0,0,0,6.3,0.15,0.15,8.1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,,1483703314_50.jpg,1
51,0,Aloo Stuffed Roti,1,0,Piece,Generic,1,79.09,1,50,2.36,0.41,2.41,16.57,0,0,0,0,0,0,327.38,14.36,1.11,0,3.68,0,0,0,0,0.01,0.03,0.09,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,,59.jpg,1
52,0,Aloo Stuffed Roti,1,0,Pieces,Generic,2,158.18,1,100,4.72,0.83,4.81,33.14,0,0,0,0,0,0,654.76,0,0,0,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,,59.jpg,1
